cluster_id	cluster_name	clusterlevel	first_cluster_name	top_markers	ncells	mean_nCount_RNA	mean_nFeature_RNA	mean_percent_mt	Female	Male	Siletti	Tadross	1C41i	3u5kk	buFpQ	eXCJJ	f5sVM	siletti_H18.30.002	siletti_H19.30.001	siletti_H19.30.002	TweV8	tzan2	znZv1	1C41i_A4	1C41i_A6	1C41i_A7	1C41i_A8	1C41i_R1	1C41i_R2	3u5kk_A.01	3u5kk_A.02	3u5kk_A.03	3u5kk_A.05	3u5kk_A.06	3u5kk_A.07	3u5kk_A.08	3u5kk_A.09	3u5kk_A.10	3u5kk_R.01	3u5kk_R.02	3u5kk_R.03	3u5kk_R.04	3u5kk_R.05	3u5kk_R.06	3u5kk_R.07	3u5kk_R.08	3u5kk_R.09	3u5kk_R.10	3u5kk_R.11	buFpQ_A1	buFpQ_A3	buFpQ_R1	buFpQ_R2	buFpQ_R3	eXCJJ_N2	eXCJJ_US2	f5sVM_ARHS2	siletti_10X190_5	siletti_10X190_6	siletti_10X192_7	siletti_10X192_8	siletti_10X193_3	siletti_10X193_4	siletti_10X203_7	siletti_10X203_8	siletti_10X360_7	siletti_10X360_8	siletti_10X362_3	siletti_10X362_4	siletti_10X362_5	siletti_10X362_6	siletti_10X376_5	siletti_10X376_6	siletti_10X380_5	siletti_10X380_6	siletti_10X380_7	siletti_10X380_8	siletti_10X389_1	siletti_10X389_2	siletti_10X392_3	siletti_10X392_4	TweV8_N1	TweV8_US1	tzan2_2	tzan2_5.1	tzan2_5.2	tzan2_5.3	tzan2_5.4	tzan2_N6.3	tzan2_US6.1	tzan2_US6.2	znZv1_1AS1CB	znZv1_1AS2CB	znZv1_1AS3CB	znZv1_1AS4CB	znZv1_1CB	znZv1_S1	znZv1_S10	znZv1_S11	znZv1_S1F	znZv1_S2	znZv1_S3	znZv1_S5	znZv1_S8	znZv1_S9
C4-362	C4-362 Mid-2 GABA-GLU-2 NTS	C4	NTS	NTS|RORB|HMCN1|WIF1|COL14A1	470	6422.05	2850.87	0.4658	9.79	90.21	55.32	44.68	0	5.96	0	0	0	3.19	11.7	40.43	0	3.83	34.89	0	0	0	0	0	0	0	0	0.21	0	0	0.85	0.43	1.06	0.85	0	0	0	0	0	0	0	0	0	1.28	1.28	0	0	0	0	0	0	0	0	2.13	1.06	0	0	0	0	0	0	3.19	3.19	1.06	0.43	0.21	0.43	0.21	1.7	12.13	12.34	6.17	8.3	0.21	0.21	0.64	1.7	0	0	0	0	0	0	0	3.19	0.43	0.21	0	0	0	0	0	21.49	0	0	4.89	3.83	4.26	0	0.43	0
C4-363	C4-363 Mid-2 GABA-GLU-2 PPP1R17 ADGRG6	C4	ADGRG6	ADGRG6|PPP1R17|NPY|RORB|ADAMTS6	300	7759.34	3254.65	0.2862	12.67	87.33	72	28	0	5	0	0	0	2.67	31.67	37.67	0	7.67	15.33	0	0	0	0	0	0	0	0.33	0	0	0	1.33	0.67	2	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67	1	0	0	0	0	0	0	12.67	17	1.33	2.67	0	0	0	0	13.33	18.67	1	0.67	1	1	0	0	0	0	2.33	0	0	0	0	4.67	0.67	0	0.33	0	0.33	0	0.67	3	1	1.67	1	3.67	3.33	0.33	0	0
C4-364	C4-364 Mid-2 GABA-GLU-2 PPP1R17 TAFA4	C4	TAFA4	KC877982.1|PPP1R17|PROX1|RORB|NR2E1	429	8415.52	3580.41	0.2521	3.5	96.5	76.92	23.08	0	1.4	0	0	0	3.03	39.63	34.27	0	2.1	19.58	0	0	0	0	0	0	0	0	0	0.23	0	0	0.7	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93	2.1	0	0	0	0	0	0	17.72	17.95	0.93	2.56	0	0	0	0	10.72	14.45	2.1	3.5	1.4	2.56	0	0	0	0	1.4	0	0	0	0	0.7	0	0	0	0.23	0	0	0	3.03	1.4	1.4	0.7	4.9	7.46	0	0.23	0.23
C4-365	C4-365 Mid-2 GABA-GLU-2 PPP1R17 LMO1	C4	LMO1	PPP1R17|RORB|LMO1|PRDM13|CCBE1	270	6255.68	2786.48	0.5344	4.81	95.19	64.44	35.56	0	3.7	0	0	0	2.59	14.81	47.04	0	1.11	30.74	0	0	0	0	0	0	0	0	0.37	0	0	0.37	0.37	1.48	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74	1.85	0	0	0	0	0	0	6.3	3.7	1.11	1.48	0.37	0.37	0.74	0.37	20.74	21.85	0.74	1.11	1.48	0.37	0.74	0.37	0	0	0.37	0	0	0	0	0.74	0	0	0	0	0	0	0	19.63	0	0.74	2.96	3.33	4.07	0	0	0
C4-366	C4-366 Mid-2 GABA-GLU-2 PPP1R17 CCBE1	C4	CCBE1	PPP1R17|CCBE1|RERGL|RORB|PROX1	526	11840.24	3798.42	0.1325	3.8	96.2	87.26	12.74	0	1.9	0	0	0	3.99	27.38	55.89	0	1.9	8.94	0	0	0	0	0	0	0	0	0.19	0	0	0.76	0.19	0	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09	1.9	0	0	0	0	0	0	13.69	11.22	9.51	7.98	0	0	0	0	13.88	14.07	5.13	5.32	1.71	0.76	0	0	0	0	0	0	0	0	0	1.71	0	0.19	0	0.19	0	0	0	1.71	0.57	0.19	1.33	1.9	3.04	0	0	0
C4-367	C4-367 Mid-2 GABA-GLU-2 PPP1R17 NPY	C4	NPY	PPP1R17|NPY|GRP|KC877982.1|RORB	584	9947.84	3550.72	0.1481	2.74	97.26	86.13	13.87	0	1.88	0	0	0	5.48	37.33	43.32	0	0.86	11.13	0	0	0	0	0	0	0	0.17	0	0	0	0.68	0	0.51	0.34	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	3.42	2.05	0	0	0	0	0	0	19.18	15.75	5.31	4.79	0	0	0	0.17	14.21	13.87	2.57	2.57	1.37	0.86	0	0	0	0	0.17	0	0	0	0	0.68	0	0	0	0	0	0	0	1.88	0.34	0.86	0	3.6	3.94	0	0	0.51
C4-368	C4-368 Mid-2 GABA-GLU-2 PPP1R17 SFRP1	C4	SFRP1	KC877982.1|LGSN|PPP1R17|SFRP1|PROX1	80	9577.12	3865.28	0.222	8.75	91.25	72.5	27.5	0	5	0	0	0	2.5	47.5	22.5	0	3.75	18.75	0	0	0	0	0	0	0	0	0	0	1.25	0	1.25	1.25	0	0	0	0	0	0	0	0	0	0	0	1.25	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	16.25	30	1.25	1.25	0	0	0	0	7.5	11.25	1.25	0	1.25	0	0	0	0	0	1.25	0	0	0	0	2.5	0	0	0	0	0	0	0	0	1.25	0	1.25	7.5	8.75	0	0	0
C4-369	C4-369 Mid-2 GLU-3 PDZRN4 MLIP	C4	MLIP	LEF1|WLS|PDZRN4|MLIP|ZIC1	255	13311.18	4488.09	0.2616	16.47	83.53	56.08	43.92	0.78	5.49	0.39	0	0	10.2	38.82	7.06	0	10.98	26.27	0	0	0.39	0.39	0	0	0	0	0	0	0	1.57	1.57	1.96	0.39	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0	0	0	0	0	4.71	5.49	0	0	0	0	0	0	15.29	12.94	1.18	0.39	0	0	0.78	1.18	2.75	1.57	0.39	0.78	3.92	3.92	0	0.78	0	0	7.84	0	0	0	0.39	1.96	0	0.78	1.18	0.39	0.78	3.14	1.18	1.57	0	9.8	1.18	3.53	2.75	0	0	0.78
C4-370	C4-370 Mid-2 GLU-3 PDZRN4 PMCH	C4	PMCH	PMCH|OTX1|IGF1|OSBPL3|SLC15A1	353	18341.92	5315.88	0.3409	12.46	87.54	51.56	48.44	2.55	5.1	0	0	0	2.27	39.66	9.63	0	7.37	33.43	0.85	0.57	0.57	0.57	0	0	0	0	0	0	0	0	2.27	1.42	1.13	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	1.42	0.85	0	0	0	0	0	0	13.03	12.18	0.28	0.28	0	0	0	0	4.25	3.97	0.28	0.57	6.52	7.08	0.57	0.28	0	0	5.38	0.28	0.57	0.57	0.28	0.28	0	0	1.7	1.7	1.7	2.27	1.7	2.27	0	3.12	0.85	5.1	12.46	0.28	0	0.28
C4-371	C4-371 Mid-2 GLU-3 PDZRN4 SULF1	C4	SULF1	PMCH|OTX1|SLC15A1|LEF1|CRHBP	368	15962.23	4582.7	0.1852	4.62	95.38	82.07	17.93	0	2.72	0	0	0.27	12.77	22.55	46.74	0	1.63	13.32	0	0	0	0	0	0	0.27	0	0	0	0.27	0.27	0.54	0.27	0.82	0	0	0	0	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0.27	5.98	5.71	0	0	0.54	0.27	0.27	0	5.98	6.52	13.59	13.32	0	0	0.27	1.36	8.42	8.97	0.54	1.9	2.99	5.16	0.27	0	0	0	1.63	0	0	0	0	0	0	0	0	0	0.54	0	0	5.98	0.82	1.63	0.82	1.36	1.9	0	0	0.27
C4-372	C4-372 Mid-2 GLU-3 PMCH	C4	PMCH	PMCH|ESM1|CARTPT|CRHBP|CBLN1	150	2286.52	1253.74	3.9552	2.67	97.33	0	100	24	2.67	0	0	0	0	0	0	0	0	73.33	8.67	2	3.33	1.33	2.67	6	0	0	0	0	0	0.67	0	1.33	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5.33	6	3.33	2	40.67	0.67	3.33	9.33	0.67	0	0	0	0
C4-373	C4-373 Mid-2 GABA-GLU-3 POMC PRDM12	C4	PRDM12	POMC|WIF1|GABRE|TBX3|CYSLTR2	417	25744.47	6038.2	0.0932	3.36	96.64	90.17	9.83	0	0.96	0	0	0	43.17	20.38	26.62	0	2.4	6.47	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0.24	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	21.34	21.82	0	0	0	0	0	0	1.68	1.44	1.68	0.72	0.72	0.72	0	0	0.24	0	13.67	10.31	0	0.24	8.39	7.19	0	0	0	0.24	0	0	0	1.2	0.48	0.48	0	0	0	0	0	0	0	0	0	2.4	3.84	0	0.24	0
C4-374	C4-374 Mid-2 GABA-GLU-3 POMC CALCR	C4	CALCR	POMC|WIF1|PGR|TBX3|GABRE	371	25678.31	5384.39	0.0194	0.54	99.46	98.38	1.62	0	0.27	0	0	0	2.43	6.2	89.76	0	0.27	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	1.62	0	0	0	0	0	0	3.77	1.08	22.64	18.06	0	0	0	0	0	0.27	22.64	26.15	0.27	1.08	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0.27
C4-375	C4-375 Mid-2 GABA-GLU-3 POMC ANKRD30A	C4	ANKRD30A	SOX3|PGR|POMC|TBX3|SFRP2	357	36403.01	6757.45	0.0067	0	100	99.72	0.28	0	0	0	0	0	2.52	18.77	78.43	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	1.12	0	0	0	0	0	0	9.8	7.56	29.97	23.81	0	0	0	0	0	0	12.32	12.32	0	0	0.84	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0
C4-376	C4-376 Mid-2 GABA-GLU-3 PDGFD PGR	C4	PGR	PGR|GABRE|VGLL3|CYSLTR2|TBX3	334	28017.54	5521.01	0.0148	1.2	98.8	98.8	1.2	0	0.9	0	0	0	13.47	5.69	79.64	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.09	8.38	0	0	0	0	0	0	2.4	1.2	18.26	14.67	0.6	0	0	0	0	0.3	22.16	24.25	0.6	0	0.6	0.3	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-377	C4-377 Mid-2 GABA-GLU-3 PDGFD ALDH1A1	C4	ALDH1A1	GABRE|VGLL3|TBX3|NDNF|WIF1	419	21584.51	4982.09	0.0525	2.15	97.85	93.79	6.21	0	1.91	0	0	0	5.49	6.21	82.1	0	0.24	4.06	0	0	0	0	0	0	0	0	0	0.24	0	0	0.24	0.48	0	0	0	0	0	0.24	0	0	0	0	0.24	0.48	0	0	0	0	0	0	0	0	1.19	4.3	0	0	0	0	0	0	3.1	2.63	20.29	19.57	0	0	0	0	0	0	19.33	22.91	0	0.24	0	0.24	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0.24	0	0.72	0	0	1.43	1.43	0	0	0.24
C4-378	C4-378 Mid-2 GABA-GLU-3 PDGFD CALCRL	C4	CALCRL	PIK3C2G|RERGL|TBX3|PLCZ1|VGLL3	134	20131.81	5072.22	0.0203	1.49	98.51	98.51	1.49	0	0.75	0	0	0	8.21	16.42	73.88	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.73	4.48	0	0	0	0	0	0	8.96	5.97	29.1	19.4	0	1.49	0	0	0	0	12.69	12.69	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-379	C4-379 Mid-2 GABA-GLU-3 PDGFD HMCN1	C4	HMCN1	BRS3|HMCN1|PIK3C2G|RERGL|TBX3	192	23219.97	5654.36	0.0387	0	100	98.44	1.56	0	0	0	0	0	13.54	14.06	70.83	0	0	1.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.25	7.29	0	0	0	0	0	0	4.17	5.73	32.29	27.08	0	0	0	0	0	0.52	6.25	4.69	2.08	2.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52	0	0.52	0.52	0	0	0
C4-380	C4-380 Mid-2 GABA-GLU-3 PDGFD WIF1	C4	WIF1	WIF1|PIK3C2G|RERGL|TBX3|FOLR1	442	16924.17	4608.13	0.0311	0.45	99.55	97.74	2.26	0	0.45	0	0	0	8.14	10.18	79.41	0	0	1.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0.23	0	0	0	0	0	0	0	0	3.62	4.3	0	0	0	0.23	0	0	1.81	3.85	20.81	19.46	0.45	0.45	0	0	0	0.45	17.19	21.49	1.58	1.13	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.23	0	1.13	0	0	0	0
C4-381	C4-381 Mid-2 GABA-GLU-3 LEF1 NTS	C4	NTS	LEF1|NTS|SP5|GPC3|TCF7L2	359	17976.81	5296.14	0.0963	6.13	93.87	79.39	20.61	0	2.23	0	0	0	17.55	44.29	17.55	0	3.9	14.48	0	0	0	0	0	0	0	0	0	0	0	0.28	0.84	0	0.56	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	8.64	8.91	0	0	0	0	0	0	20.33	18.38	4.74	3.34	0	0	0	0	1.95	1.39	4.18	1.95	2.79	2.79	0	0	0	0	2.51	0	0	0.56	0	0.56	0	0.28	0.84	0.84	0.28	0.28	0.28	0	1.11	8.91	0	0.84	0.56	0	0	0.56
C4-382	C4-382 Mid-2 GABA-GLU-3 LEF1 IL1RAPL2	C4	IL1RAPL2	LEF1|IL1RAPL2|CCN3|ANKRD30A|GPC3	218	21900.08	5699.84	0.0524	3.67	96.33	88.53	11.47	0	2.29	0	0	0	18.35	44.5	25.69	0	1.38	7.8	0	0	0	0	0	0	0	0	0	0	0	1.38	0	0	0	0	0	0	0	0.46	0	0	0	0	0.46	0	0	0	0	0	0	0	0	0	8.72	9.63	0	0	0	0	0	0	20.64	20.64	9.17	9.63	0	0	0	0	0.46	0.92	2.29	3.21	1.38	1.83	0	0	0	0	0.92	0	0.46	0	0	0	0	0	0.46	0	0.92	0.92	0	0	0.46	4.13	0	0.46	0	0	0	0.46
C4-383	C4-383 Mid-2 GABA-GLU-3 LEF1 MUC7	C4	MUC7	MUC7|PRR27|OPRPN|FDCSP|SMR3B	317	23895.42	5778.41	0.0075	0.32	99.68	98.74	1.26	0	0.32	0	0	0	3.79	36.91	58.04	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21	1.58	0	0	0	0	0	0	17.03	17.67	23.34	19.87	0.63	0	0	0	0	0	8.2	6.62	0	0.32	0.63	0.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0.32	0	0	0.32	0	0	0
C4-384	C4-384 Mid-2 GABA-GLU-3 PGR ANKRD30A	C4	ANKRD30A	ANKRD30A|PLCH1|TRPC6|POU6F2|PRLR	119	25796.39	5841.68	0.0757	2.52	97.48	91.6	8.4	0	1.68	0	0	0	25.21	29.41	36.97	0	0.84	5.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	0	0	0	0	0	0	0	0	10.08	13.45	0	0	0.84	0.84	0	0	12.61	15.13	14.29	10.08	0	0	0	0	0.84	2.52	2.52	6.72	0.84	0	0	0.84	0	0	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.36	0	0	1.68	0	0	0.84
C4-385	C4-385 Mid-2 GABA-GLU-3 PGR DNAH11	C4	DNAH11	SKOR2|KISS1|DNAH11|VGLL3|PGR	212	22615.41	5258.88	0.0079	0	100	99.53	0.47	0	0	0	0	0	8.96	15.09	75.47	0	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.25	4.72	0	0	0	0	0	0	5.19	7.55	22.17	16.04	0	0	0	0	0	0.47	18.87	17.92	1.42	0	0.47	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0	0	0	0
C4-386	C4-386 Mid-2 GABA-GLU-3 PGR MECOM	C4	MECOM	PKHD1L1|RFX6|MECOM|PGR|TBX3	226	22270.79	5377	0.0165	0.44	99.56	97.35	2.65	0	0.44	0	0	0	23.89	23.45	50	0	0	2.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5	12.39	0	0	0	0	0	0	2.21	2.21	16.81	23.45	0	0	0	0	0	0	3.54	6.19	8.41	10.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0.44	0	0	0	0	0	1.33
C4-387	C4-387 Mid-2 GABA-GLU-3 PGR TRPC6	C4	TRPC6	PGR|TBX3|NR5A2|ESR1|TRPC6	443	33721.18	6824.14	0.0091	0.45	99.55	98.42	1.58	0	0.45	0	0	0	6.09	17.16	75.17	0	0	1.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0	0	2.93	2.93	0	0	0	0.23	0	0	9.93	5.19	37.02	35.21	0	0	0	0	0	0.23	1.13	1.58	0.9	1.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.68	0	0	0	0	0	0
C4-388	C4-388 Mid-2 GABA-GLU-3 PGR CALCR	C4	CALCR	PGR|NR5A2|LHX4|TBX3|NMU	143	46205.31	7712.41	0.0054	1.4	98.6	98.6	1.4	0	1.4	0	0	0	0.7	11.89	86.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	7.69	4.2	37.76	39.16	0	0	0	0	0	0	4.9	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-389	C4-389 Mid-2 GABA-GLU-3 PGR TGFBR2	C4	TGFBR2	CERNA2|SKOR2|UGT2B7|IGFBP3|TGFBR2	302	33033.62	6487.23	0.0104	0	100	99.67	0.33	0	0	0	0	0	3.31	23.84	72.52	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66	1.66	0	0	0	0	0	0	11.26	10.93	23.51	20.86	0.33	0.66	0	0	0	0.33	12.91	14.9	0	0	0	0.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0
C4-390	C4-390 Mid-2 GABA-GLU-3 PGR TAC1	C4	TAC1	KISS1|NR5A2|SKOR2|PGR|COL22A1	245	27989.66	5909.06	0.0056	0	100	100	0	0	0	0	0	0	2.86	28.16	68.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63	1.22	0	0	0	0	0	0	12.24	12.24	24.9	21.22	0	0	0	0	0	0	11.02	11.84	1.22	1.63	0	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-391	C4-391 Mid-2 GABA-GLU-3 PGR TAC3	C4	TAC3	KISS1|SKOR2|UGT2B7|EMP2|PGR	358	28090.4	5942.21	0.0054	0	100	100	0	0	0	0	0	0	3.07	15.08	81.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	1.68	0	0	0	0	0	0	8.38	6.42	34.08	23.74	0	0	0	0	0	0	13.41	10.61	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4-392	C4-392 Mid-2 GLU-4 ANKRD30A MBNL3	C4	MBNL3	RASSF6|ONECUT1|MBNL3|NPPC|ANKRD30A	297	18002.73	4647.27	0.0735	2.36	97.64	91.58	8.42	0	2.02	0	0	0	15.49	26.94	49.16	0	0.34	6.06	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0.67	0.34	0	0	0	0	0	0	0	0	0	0.34	0.34	0	0	0	0	0	0	0	0	8.42	6.06	0	0	0.34	0	0.34	0.34	9.43	10.1	7.07	5.72	0.34	0.67	0	0.67	1.01	1.35	18.52	15.49	0.34	0.34	1.35	3.7	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0.67	0.34	2.02	0	1.68	1.35	0	0	0
C4-393	C4-393 Mid-2 GLU-4 ANKRD30A ADAMTSL3	C4	ADAMTSL3	LEF1|ANKRD30A|SLC5A7|QPCT|COL12A1	383	24388.76	5795.49	0.0459	1.31	98.69	89.56	10.44	0	1.04	0	0	0	20.1	34.99	34.46	0	0.26	9.14	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0	0.52	0	0	0	0	0	0	0	0	0	8.09	10.18	0	0	0.26	1.57	0	0	18.02	12.53	9.66	10.44	0	0.52	0	0	0.26	0.52	5.22	8.36	1.04	1.83	0.26	0.78	0	0	0	0	0	0	0	0.26	0	0	0.26	0.78	0	0.26	0.78	0.26	0.78	3.13	0	1.57	0.78	0	0	0.52
C4-394	C4-394 Mid-2 GLU-4 ANKRD30A CASR	C4	CASR	CASR|LEF1|ONECUT1|BMP4|ITIH5	185	23026.67	5766.3	0.0681	3.78	96.22	84.32	15.68	0	3.78	0	0	0	31.89	37.3	15.14	0	0	11.89	0	0	0	0	0	0	0	0	0	0	0	2.16	1.08	0	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.22	14.59	0	0	0.54	0.54	0	0	17.3	17.3	3.24	2.16	0	0	0	0	0.54	1.08	5.41	2.7	0	0	1.08	1.62	0	0	0	0	0	0	0	0	0	0	1.08	1.62	1.08	1.62	0	0	0	4.86	0	1.08	0	0	0	0.54
C4-395	C4-395 Mid-2 GLU-4 WNT7B MCTP2	C4	MCTP2	WNT7B|MCTP2|SLC18A2|WIF1|LPAR1	389	19852.55	5211.4	0.028	0.77	99.23	94.34	5.66	0	0.26	0	0	0	20.05	37.53	36.76	0	0.51	4.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0	0	0	0	0	8.23	9.51	0	0	1.03	1.29	0	0	12.85	18.51	13.62	13.11	0.51	0.26	0	0	1.54	1.54	4.11	2.83	2.31	2.06	0.51	0.51	0	0	0	0	0	0	0	0.26	0	0.26	0	0	0.51	0.77	0.26	0	0.77	1.54	0	0.26	0.26	0	0	0.51
C4-396	C4-396 Mid-2 GLU-4 WNT7B PRRX1	C4	PRRX1	LEF1|WIF1|RSPO3|TRABD2B|HDC	111	23915.34	5478.75	0.0357	0.9	99.1	95.5	4.5	0.9	0	0	0	0	6.31	11.71	77.48	0	0.9	2.7	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	2.7	0	0	0	0	0	0	2.7	0	27.93	25.23	0	0	0	0	10.81	6.31	4.5	2.7	5.41	3.6	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0.9	0.9	0	0	0	0.9	0	0	0
C4-397	C4-397 Mid-2 GLU-4 WNT7B GNB4	C4	GNB4	LEF1|PIK3C2G|EPHA3|WNT7B|PDGFD	179	19806.87	5105.23	0.0369	2.23	97.77	94.41	5.59	0	1.68	0	0	0	10.06	22.35	62.01	0	0.56	3.35	0	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0.56	0	0.56	0	0	0	0	0	0	0	0	3.91	6.15	0	0	0	0	0	0	8.94	5.03	24.02	24.02	0	1.12	0	0	3.91	4.47	2.23	3.35	3.91	3.35	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0	0	0	0	1.12	0.56	0	0	1.68	0	0	0	0
C4-398	C4-398 Mid-2 GLU-4 WNT7B HMCN1	C4	HMCN1	PIK3C2G|RERGL|RSPO3|LEF1|HMCN1	222	17538.09	4673.78	0.0289	1.8	98.2	95.5	4.5	0	1.35	0	0	0	9.01	23.87	62.61	0	0.45	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05	4.95	0	0	0	0	0	0	7.66	8.11	27.03	23.87	0	0	0.45	0.45	3.6	5.86	0	2.25	3.6	3.6	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0.9	0.9	0	0.45	0.45	0	0	0
C4-399	C4-399 Mid-2 GLU-4 WNT7B DCN	C4	DCN	DCN|BMPR1B|LEF1|NPPC|IL18R1	341	15575.52	4341.31	0.0353	0.29	99.71	96.77	3.23	0	0	0	0	0	12.9	32.26	51.61	0	0.29	2.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.45	5.87	0	0	0.29	0.29	0	0	17.01	14.37	10.56	18.48	0	0.29	0	0	0.29	1.47	9.68	11.14	0.29	0.29	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0.29	0	0.29	0	0.88	0.59	0.29	0.29	0.29	0	0	0
