human_cluster	MC4R	MC3R	CHAT	NTS	GAL	KISS1	TAC3	LEPR	CRABP1	SIM1	TRH	SLC32A1	top_markers	region	region_color	C4	C3	mouse_cluster	species_cor	from_occ	Mc4r	Mc3r	Chat	Nts	Gal	Kiss1	Tac2	Lepr	Crabp1	Sim1	Trh	Slc32a1
C4-182 Pre-2 GABA-2 LHX8 CALCR	0.02	0	0.01	0.03	0.06	0	0.09	0.34	0.23	0.01	0.02	0.29	LHX8|LHX6|GNGT1|GLI3|POU3F1	POA	#F64DFF	C4-182	C3-72	C465-257: Pou3f1.Lhx6.Lhx8.GABA-1	0.858	1	0.06	0.02	0	0.26	0.23	0.04	0.45	0.02	0.03	0	0.15	1.7
C4-334 Mid-2 GLU-2 CALB1 TINAG	0.02	0	0	0.19	0.03	0.02	0.01	0.25	0.05	0	0.01	0.02	TINAG|FAM9B|FEZF1|NTNG1|CHST9	VMH	#CC3D7D	C4-334	C3-118															
C4-319 Mid-2 GLU-1 CHST9 PROX1	0.02	0	0	0.01	0.01	0	0.01	0.21	0.04	0.01	0.36	0	EOMES|LHX9|LHX2|SLC16A12|NR2F1	MPOA	#532E99	C4-319	C3-114															
C4-414 Post-2 GLU-2 TAC3	0.02	0.01	0	0.05	0.05	0.02	1.16	0.3	0.12	1.34	0.14	0.01	SIM1|CD36|LTBP1|TEX41|CCBE1			C4-414	C3-140															
C4-314 Mid-3 GLU-5 AGTR1	0.02	0	0	0.14	0.08	0.01	0.01	0.16	0.02	0.58	0.72	0.01	CRH|AGTR1|CARTPT|PGF|AVP	PVN	#884599	C4-314	C3-113	C465-131: Sim1.Ebf3.Caprin2.GLU-6	0.783	1	0	0	0	0.09	1.4	0.02	0.1	0.04	0.03	1.24	0.15	0.13
C4-81 Mid-1 GABA-2 FAM9B ADAMTSL1	0.02	0.01	0.01	0.21	0.04	0.01	0.03	0.28	0.1	0.01	0.02	0.45	ZIC2|FAM9B|ADAMTS17|ADAMTSL1|NR2F1	LH	#3D61CC	C4-81	C3-45	C465-158: Zic1.Zic3.Unassigned.Mixed.GABA-2	0.867	1	0.01	0	0	0.18	0.26	0.02	0.34	0.02	0.02	0	0.08	1.57
C4-162 Mid-1 GABA-7 KCNH8 GAL	0.02	0.01	0	0.04	2.97	0.02	0.03	0.28	0.18	0.02	0.16	0.35	LEF1|RORB|PTGER3|ADAMTS6|RELN	TMN	#73ABFF	C4-162	C3-66	C465-230: Reln.Lef1.GABA-1	0.937	1	0	0.01	0	0.29	2.59	0.02	0.13	0.05	0.04	0.01	0.11	1.36
C4-309 Mid-3 GLU-3 METTL11B ADGRG4	0.02	0	0	0.11	0.05	0.01	0.02	0.25	0.29	1.07	0.15	0.01	METTL11B|ADGRG4|BHLHE22|SST|HS3ST3A1			C4-309	C3-109	C465-12: Col27a1.Stk26.Nxph4.GLU-2	0.721	1	0.02	0	0.02	0.11	0.33	0.03	0.09	0.07	0.04	0.64	1.38	0.19
C4-358 Mid-2 GABA-GLU-1 RGS22 POU6F2	0.02	0.01	0	0.03	0.01	0.01	0	0.5	0.04	0.01	0.01	0.33	OTP|POU6F2|COL12A1|NR5A2|PDZRN3	ARC	#993E17	C4-358	C3-123															
C4-142 Mid-1 GABA-5 RORB VGF	0.02	0.02	0	1.43	1.68	0	0.05	0.66	0.06	0	0.01	0.38	NPSR1|RORB|NTS|C11orf96|TMEM114	MPOA	#532E99	C4-142	C3-60	C465-241: Nts.Crh.GABA-1	0.82	1	0.22	0.21	0.03	3.61	2.54	0.04	0.19	0.67	0.03	0	0.08	1.39
C4-170 Pre-2 GABA-1 IL1RAPL2 KMO	0.02	0	0	0	0.03	0	0.1	0.22	1.07	0	0.04	0.24	HTR3A|CTXND1|IL1RAPL2|MAF|KMO	LPOA	#FFE926	C4-170	C3-70	C465-252: Igfbp4.Lhx6.GABA-1	0.866	1	0.09	0.27	0	0.13	0.23	0.01	1.1	0	0.85	0	0.14	1.79
C4-52 Pre-1 GABA-3 TBL1Y SOX6	0.02	0.02	0	0	0.01	0.01	0	0.32	0.11	0	0.01	0.31	PRDM16|PRDM16-DT|ZIC2|ZIC1|TBL1Y	POA	#F64DFF	C4-52	C3-35	C465-171: Otx2.Mixed.GABA-2	0.752	1	0	0.05	0	0.23	0.31	0.02	0.11	0.02	0.01	0	0.12	1.56
C4-173 Pre-2 GABA-2 MDFIC CHRDL1	0.02	0	0.03	0.57	0	0.01	0.08	0.29	0.21	0.01	0.05	0.22	LHX6|MOXD1|TMEM255A|NELL1|CHRDL1	POA	#F64DFF	C4-173	C3-71															
C4-223 Post-1 GLU-1 ZNF676 EBF2	0.02	0	0.01	0.26	0.04	0	0.02	0.29	0.03	0	0	0.07	TTC6|LMX1A|CDH23|EBF2|FSHR			C4-223	C3-84	C465-7: Irx3.Lmx1a.Pitx2.Irx5.GLU-2	0.819	1	0.06	0.01	0.01	0.71	0.16	0.01	0.1	0.26	0.03	0.04	0.08	0.12
C4-26 Pre-1 GABA-1 PRKCH RXFP2	0.02	0	0	0.03	0.01	0.02	0.13	0.26	0.22	0.01	0	0.16	RXFP2|FAM160A1|MME|PPP1R1B|PMEPA1			C4-26	C3-27	C465-311: Crym.Ppp1r1b.Tac1.Meis2.GABA-5	0.755	1	0.15	0.01	0	1.23	0.14	0.01	0.24	0	0.05	0	0.06	1.43
C4-175 Pre-2 GABA-2 MDFIC CALCR	0.02	0	0	1.19	0.02	0.01	0.03	0.33	0.12	0.02	0.03	0.22	ZEB2|NTS|LHX6|ASIC4|LHX8	POA	#F64DFF	C4-175	C3-71	C465-266: Crh.Zeb2.Lhx8.GABA-1	0.917	1	0.05	0.04	0	2.38	0.3	0.01	0.16	0.03	0.02	0.01	0.12	1.39
C4-41 Pre-1 GABA-2 SLC22A10 LOXHD1	0.02	0	0	0.03	0	0.01	0.01	0.22	0.06	0	0	0.17	RXFP1|LOXHD1|FOXP2|C6orf141|SEMA5B			C4-41	C3-30															
C4-70 Mid-1 GABA-2 LGR5 SEMA3D	0.02	0	0	0.05	0.02	0	0.05	0.59	0.02	0.02	0.02	0.35	SEMA3D|LGR5|LHX1|ITGA8|RORB	SCN	#FF7300	C4-70	C3-42	C465-201: Sst.Arx.Lhx1.GABA-2	0.811	1	0.08	0.02	0	0.24	0.22	0.04	0.79	0.03	0.05	0.01	0.11	1.45
C4-83 Mid-1 GABA-2 PMFBP1 CHST9	0.02	0	0	0.17	0.05	0	0.03	0.3	0.11	0.04	0.02	0.29	ONECUT3|ONECUT1|PMFBP1|ETV1|FREM3	LH	#3D61CC	C4-83	C3-46	C465-194: Penk.Shisal2b.Onecut3.Onecut2.GABA-2	0.846	1	0.2	0	0.02	0.18	0.19	0	0.07	0.02	0.02	0	0.07	1.45
C4-40 Pre-1 GABA-2 SLC22A10 NDST4	0.02	0	0	0.01	0	0.04	0	0.26	0.04	0	0	0.22	RXFP1|SEMA5B|FOXP2|SLC22A10|MEIS2			C4-40	C3-30															
C4-94 Mid-1 GABA-3 ZNF385D GAL	0.02	0	0	0.09	0.77	0	0.05	0.22	0.25	0.01	0.12	0.52	SPHKAP|NR2F1|POU6F2|PRDM12|MEIS2	DMH	#FF73C7	C4-94	C3-49	C465-153: Slc30a3.Meis2.Mixed.GABA-2	0.854	1	0.02	0.02	0.01	0.43	0.8	0.03	0.62	0.04	0.03	0.01	0.12	1.66
C4-212 Post-1 GLU-1 EBF2 BNC2	0.02	0	0	0.02	0.02	0	0.01	0.38	0.05	0.01	0.01	0.11	BNC2|TH|SLC6A3|EBF2|TWIST1			C4-212	C3-82															
C4-69 Mid-1 GABA-2 LGR5 MKX	0.02	0.01	0	0.15	0.04	0.01	0.38	0.4	0.11	0.03	0.01	0.3	C1QL2|COL12A1|LRP4|FBN2|LRP2	SCN	#FF7300	C4-69	C3-42	C465-167: Unassigned.Unassigned.C1ql2.Mixed.GABA-2	0.861	2	0.01	0	0	0.12	0.2	0	0.14	0.02	0.01	0.02	0.09	1.86
C4-60 Pre-1 GABA-7 DCDC2C TENT5A	0.02	0	0	0.3	0	0.01	0.1	0.36	0.02	0	0	0.29	SLC22A10|DCDC2C|PENK|TMEM215|MEIS2			C4-60	C3-39															
C4-174 Pre-2 GABA-2 MDFIC GBX1	0.02	0.01	0	0.92	0	0	0.02	0.36	0.11	0.01	0	0.17	GBX1|CPLX4|LHX8|GBX2|LHX6	POA	#F64DFF	C4-174	C3-71															
C4-72 Mid-1 GABA-2 CLMP NFIX	0.02	0	0	0.36	0.04	0	0.03	0.25	0.07	0	0.11	0.26	TP73|ONECUT3|ZIC2|PRDM16|ONECUT1	SCN	#FF7300	C4-72	C3-43	C465-152: Nfix.Thrsp.Mixed.GABA-2	0.936	1	0.03	0	0	0.08	0.53	0	0.24	0.01	0.02	0.01	0.24	1.36
C4-350 Mid-2 GLU-2 SLC22A10 PGR	0.02	0.01	0.01	0.03	0.03	0.01	0	0.26	0.02	0	0.08	0.02	PGR|ADAMTSL1|DNAH11|ESR1|SST	VMH	#CC3D7D	C4-350	C3-121	C465-72: Necab1.Cbln4.Cd40.GLU-3	0.824	2	0.12	0.12	0	0.14	0.42	0.01	0.03	0.01	0.03	0	0.1	0.07
C4-271 Mid-3 GLU-1 DLK1 ITGA8	0.02	0.01	0	0.01	0	0.01	0.01	0.49	0.07	0	0.5	0.09	TBR1|PLPP4|TNC|ITGA8|PAMR1			C4-271	C3-99	C465-40: Ucn3.Meis2.Samd3.GLU-2	0.779	1	0.02	0.05	0.02	0.11	0.37	0.12	0.33	0.01	0.02	0.02	0.75	0.11
C4-103 Mid-1 GABA-3 LHX6 FIGN	0.02	0	0	0.24	0.06	0.02	0.02	0.23	0.18	0.13	0.17	0.36	FIGN|MOXD1|NPSR1|LHX6|PDZRN4			C4-103	C3-50	C465-267: Lhx6.Sox6.Lhx8.GABA-1	0.856	1	0.03	0.01	0	0.21	0.39	0.01	0.32	0.07	0.02	0.02	0.76	1.6
C4-225 Post-1 GLU-1 ZNF676 HMCN1	0.02	0	0	0.03	0.04	0.01	0.02	0.37	0.03	0	0	0	LMX1A|CRNDE|TTC6|HMCN1|BARHL1			C4-225	C3-84	C465-4: Egflam.Lmx1a.Pitx2.Irx5.GLU-2	0.754	1	0.04	0.04	0	0.47	0.26	0.03	0.11	0.36	0.06	0.02	0.07	0.15
C4-196 Pre-2 GABA-4 FIGN SOX6	0.02	0	0.03	0.05	0.01	0.01	0.02	0.28	0.06	0	0	0.28	SOX6|PROX1|NR2F1|IL1RAPL2|MEIS2			C4-196	C3-77	C465-303: Cyp26b1.Slc17a8.Bcl11b.Meis2.GABA-5	0.787	1	0.04	0	0	0.37	0.27	0	0.19	0	0.03	0	0.08	1.78
C4-278 Mid-3 GLU-2 CBLN2 EBF1	0.02	0	0	0.05	0.04	0	0	0.36	0.01	1.16	1.28	0	EBF1|ONECUT1|TRH|CBLN1|SIM1	MPOA	#532E99	C4-278	C3-101	C465-23: Ebf1.Igfbpl1.Cbln2.Trh.GLU-2	0.814	1	0.03	0.03	0.01	0.41	0.55	0.02	0.1	0.02	0.02	0.76	3.78	0.23
C4-325 Mid-2 GLU-1 ITGA2 PRLH	0.02	0.01	0	0.13	0.39	0	0.01	0.21	0.04	0	0.26	0.02	PRLH|MBNL3|WIF1|SOX4|PCOLCE2	MPOA	#532E99	C4-325	C3-115															
C4-332 Mid-2 GLU-2 CALB1 RXFP2	0.02	0.02	0	0.17	0.03	0.03	0	0.19	0.06	0.03	0.01	0.05	FEZF1|SOX14|RXFP2|GPC5|IQGAP2	VMH	#CC3D7D	C4-332	C3-118	C465-51: Col24a1.Unassigned.Fezf1.GLU-3	0.785	1	0.04	0.08	0	0.11	0.25	0.02	0.07	0.04	0.03	0.01	0.09	0.11
C4-124 Mid-1 GABA-4 HMX3 ADAMTS6	0.02	0	0.01	0.29	1.07	0.01	0.03	0.25	0.15	0	0.05	0.18	HMX3|ZIC1|STK32A|ANO1|DLX1	MPOA	#532E99	C4-124	C3-56	C465-268: Csta2.Hmx2.Gal.Nts.GABA-1	0.738	1	0.09	0.02	0.01	2.05	2.9	0.04	0.35	0.03	0.02	0.01	0.11	1.23
C4-156 Mid-1 GABA-6 SLC10A4 BHLHE22	0.02	0	0	0.41	0.05	0.02	0.01	0.25	0.17	0	0.01	0.55	BHLHE22|SNTB1|SLC10A4|OTP|DLK1	LTN	#179924	C4-156	C3-64	C465-216: Chst9.Vcan.Col6a1.Il1rapl2.GABA-1	0.93	1	0	0	0	0.64	0.28	0	0.07	0.11	0.02	0	0.09	1.19
C4-361 Mid-2 GABA-GLU-1 P2RX2 SNTG2	0.02	0	0.01	0.04	0.04	0.02	0	0.18	0.04	0	0.01	0.33	P2RX2|OTP|SERPINE2|SLC10A4|SST	LTN	#179924	C4-361	C3-124	C465-301: Satb1.Meis2.GABA-5	0.82	1	0.02	0.06	0	0.07	0.22	0.02	0.12	0.06	0.01	0	0.09	1.11
C4-97 Mid-1 GABA-3 ZNF385D ONECUT1	0.02	0	0	0.04	0.08	0	0	0.25	0.51	0	0.1	0.38	POU6F2|ONECUT1|MEIS2|PNOC	DMH	#FF73C7	C4-97	C3-49	C465-160: Calca.Pou6f2.Unassigned.Mixed.GABA-2	0.729	1	0.03	0.02	0.01	0.87	0.3	0.03	0.48	0.07	0.02	0	0.09	1.62
C4-22 Pre-1 GABA-1 SEMA3C GNG7	0.02	0	0	0	0	0.02	0.03	0.21	0	0	0	0.11	SLC25A48|RARB|FOXP2|NTN1|GNG7			C4-22	C3-26															
C4-242 Post-1 GLU-2 PAX7	0.02	0	0	1.5	0	0	0.04	0.47	0.07	1.15	0	0	PAX7|ITGA4|SIM1|ADGRG4|PLCH1			C4-242	C3-89															
C4-116 Mid-1 GABA-4 NTS CALCR	0.01	0	0	1.57	0.06	0.01	0.21	0.27	0.07	0	0.01	0.33	NTS|ESR1|FAM9B|NDST4|PGR	MPOA	#532E99	C4-116	C3-54	C465-274: Tac2.Dlx1.Gal.Nts.GABA-1	0.861	1	0.07	0.07	0	3.44	2.34	0.41	1.67	0.02	0.06	0.01	0.07	1.42
C4-88 Mid-1 GABA-3 LHX1 PDZRN4	0.01	0	0.01	1.23	0.02	0.02	0.14	0.38	0.11	0.01	0.06	0.28	TFAP2B|GATA3|PAX7|PAX6	LH	#3D61CC	C4-88	C3-48															
C4-210 Pre-2 GABA-4 CHST9 TMEM255A	0.01	0	0.01	0.04	0.02	0	0.01	0.29	0.13	0	0.03	0.39	CYP19A1|LHX6|MOXD1|NR2F1|GABRE	POA	#F64DFF	C4-210	C3-80	C465-251: Crhbp.Dlx1.Lhx6.GABA-1	0.884	1	0.03	0.01	0	0.36	0.44	0.03	0.95	0.01	0.01	0	0.06	1.64
C4-362 Mid-2 GABA-GLU-2 NTS	0.01	0	0	2.03	0.09	0.12	0.01	0.19	0.09	0.01	0.11	0.55	NTS|RORB|HMCN1|WIF1|COL14A1	Perivent	#CC9F5C	C4-362	C3-125															
C4-323 Mid-2 GLU-1 ITGA2 SLC17A8	0.01	0	0.01	0.17	0.04	0	0.01	0.15	0.03	0	0.08	0.04	SLC17A8|LEF1|RORB|HMX3	MPOA	#532E99	C4-323	C3-115	C465-114: Crh.Lhx9.Mixed.GLU-4	0.885	1	0	0.05	0	0.34	0.88	0.01	0.09	0.02	0.06	0	0.54	0.1
C4-388 Mid-2 GABA-GLU-3 PGR CALCR	0.01	0.06	0.19	0.48	0.03	0.02	0.04	0.24	0.01	0	0.01	0.03	PGR|NR5A2|LHX4|TBX3|NMU	ARC	#993E17	C4-388	C3-132	C465-124: Glipr1.Pomc.GLU-5	0.808	1	0.06	0.23	0	0.08	0.41	0.13	0.31	0.09	0.19	0	0.06	0.15
C4-7 Pre-1 GABA-8 SLC1A3 AQP4	0.01	0	0	0.02	0.01	0.02	0.04	0.27	0.05	0.01	0	0.19	PLCG2|DDO|MT2A|MME|CA12			C4-7	C3-24															
C4-44 Pre-1 GABA-3 PRDM16 SLC24A4	0.01	0	0.01	0.09	0.01	0.01	0.04	0.46	0.1	0	0.01	0.25	PRDM16|FREM2|PRDM16-DT|CLIC4|TRPC4	POA	#F64DFF	C4-44	C3-32															
C4-284 Mid-3 GLU-2 OTP ADAM2	0.01	0	0	0.35	0.03	0.02	0	0.28	0.08	0.89	0.94	0.07	OTP|ADAM2|ZIC2|ARHGAP36|TRH	Vent	#889945	C4-284	C3-102															
C4-228 Post-1 GLU-1 ZNF676 POU6F2	0.01	0	0	0.09	0.01	0.01	0.01	0.35	0.03	0.04	0	0.01	LMX1A|TTC6|POU6F2|SLC17A8|NTNG1			C4-228	C3-84	C465-7: Irx3.Lmx1a.Pitx2.Irx5.GLU-2	0.782	1	0.06	0.01	0.01	0.71	0.16	0.01	0.1	0.26	0.03	0.04	0.08	0.12
C4-33 Pre-1 GABA-2 EYA2 CXCL14	0.01	0	0	0.05	0.01	0	0.02	0.24	0.14	0.03	0	0.26	RXFP1|EYA2|FOXP2|SEMA5B|MEIS2			C4-33	C3-29	C465-306: Sp9.Ccn1.Meis2.GABA-5	0.746	1	0.03	0.02	0	0.36	0.22	0.01	0.93	0	0.12	0.01	0.3	1.64
C4-335 Mid-2 GLU-2 CALB1 TLL1	0.01	0	0.01	0.18	0.03	0.01	0.01	0.23	0.08	0	0.01	0.01	FEZF1|FAM9B|SOX14|KCNH8|AASS	VMH	#CC3D7D	C4-335	C3-118	C465-51: Col24a1.Unassigned.Fezf1.GLU-3	0.901	1	0.04	0.08	0	0.11	0.25	0.02	0.07	0.04	0.03	0.01	0.09	0.11
C4-68 Mid-1 GABA-2 LGR5 LGALS3	0.01	0	0	0.47	0.04	0	0.01	0.61	0.02	0.01	0.02	0.31	VIP|SEMA3D|COL4A6|LGR5|ARSJ	SCN	#FF7300	C4-68	C3-42	C465-207: Grp.Cd24a.Lhx1.GABA-2	0.805	4	0.01	0.01	0	0.13	0.08	0.01	0.27	0.01	0.01	0	0.07	1.41
C4-9 Pre-1 GABA-8 SLC1A3 DCDC2C	0.01	0	0	0	0	0.01	0.02	0.28	0	0	0.02	0.13	DCDC2C|SLC38A11|TARID|PRKCH|PDZD2			C4-9	C3-24															
C4-191 Pre-2 GABA-3 GBX1 PTTG1	0.01	0	0	0.06	0.01	0.02	0.04	0.22	0.1	0.01	0.03	0.25	PTTG1|FGF10|SOX6|GBX1|LHX8	LPOA	#FFE926	C4-191	C3-74	C465-261: Pvalb.Gbx1.Sox6.Lhx8.GABA-1	0.808	1	0.05	0.01	0	0.33	0.23	0	0.02	0.02	0.22	0	0.09	2.01
C4-48 Pre-1 GABA-3 CRH BNC2	0.01	0.01	0	0.1	0.2	0	0.04	0.33	0.09	0.01	0.03	0.19	BNC2|EBF1|RELN|CRH|SEMA3C	LPOA	#FFE926	C4-48	C3-34															
C4-125 Mid-1 GABA-4 HMX3 GPC3	0.01	0	0	0.1	0.02	0	0.03	0.24	0.1	0	0.05	0.4	FAM9B|GPC3|PDE11A|ESR1|NR2F1	MPOA	#532E99	C4-125	C3-56	C465-276: Brs3.Dlx1.Gal.Nts.GABA-1	0.858	1	0.02	0.06	0	1.97	1.63	0.06	1.11	0.02	0.05	0.01	0.1	1.36
C4-216 Post-1 GLU-1 EBF2 POSTN	0.01	0	0.04	0.41	0	0	0.01	0.22	0.04	0	0.18	0	POSTN|EBF2|SLC26A7|LMX1A|SLC17A8			C4-216	C3-82															
C4-341 Mid-2 GLU-2 MEGF10 MDFIC	0.01	0	0	0.04	0.06	0.04	0.01	0.29	0.02	0	0.01	0.07	PRDM13|NR5A1|ITGA8|CDH13|RSPO3	VMH	#CC3D7D	C4-341	C3-119	C465-95: Adamts19.Tcf7l2.Vcan.GLU-3	0.948	3	0.04	0.05	0	0.13	0.21	0	0.05	0.04	0.02	0	0.11	0.05
C4-377 Mid-2 GABA-GLU-3 PDGFD ALDH1A1	0.01	0.01	0.02	0.09	0.95	0.02	0	0.81	0.04	0	0.02	0.4	GABRE|VGLL3|TBX3|NDNF|WIF1	ARC	#993E17	C4-377	C3-130	C465-254: Vgll3.Tbx3.GABA-1	0.876	2	0.01	0.03	0	0.18	0.3	0.02	0.1	0.03	3.12	0.01	0.11	1.13
C4-346 Mid-2 GLU-2 ARHGAP42 SHISAL2B	0.01	0.03	0	0.04	0.04	0.01	0	0.31	0.03	0	0	0.03	NR5A1|IQGAP2|SNTB1|CDH13|FAT4	VMH	#CC3D7D	C4-346	C3-120	C465-92: Nr5a1.C1ql2.Gpr149.GLU-3	0.76	1	0.03	0.05	0	0.15	0.13	0.01	0.06	0.09	0.05	0	0.05	0.12
C4-308 Mid-3 GLU-3 METTL11B TMEM244	0.01	0	0	0.18	0.09	0.13	0.02	0.29	0.22	1.04	1.16	0.01	COL1A2|ITGA6|METTL11B|EBF3|SST			C4-308	C3-109	C465-12: Col27a1.Stk26.Nxph4.GLU-2	0.901	1	0.02	0	0.02	0.11	0.33	0.03	0.09	0.07	0.04	0.64	1.38	0.19
C4-300 Mid-3 GLU-3 SLITRK6 CRH	0.01	0	0.01	0.19	0.08	0.02	0.01	0.34	0.13	0.59	0.02	0	CRH|EBF3|PLPP4|OTP|STK32B	MAM	#990073	C4-300	C3-107	C465-16: Sim1.Ebf3.Nxph4.GLU-2	0.716	1	0.09	0.02	0	0.12	0.53	0.04	0.17	0.11	0.02	0.65	0.53	0.16
C4-234 Post-1 GLU-2 IL1RAPL2 NWD2	0.01	0	0	0.05	0.05	0.01	0.07	0.27	0.16	0.99	0.15	0	IL1RAPL2|EBF3|CTXN3|NWD2|EYA1	MAM	#990073	C4-234	C3-87	C465-41: Dkk2.Pde11a.Foxb1.GLU-2	0.955	1	0.04	0	0	0.08	0.85	0.02	0.07	0.06	0.03	0.61	0.12	0.06
C4-168 Pre-2 GABA-1 TAC3 CTXND1	0.01	0	0	0.7	0.02	0.01	1.46	0.29	1.51	0	0.45	0.33	CER1|CTXND1|NXPH2|CRABP1|GLP1R	POA	#F64DFF	C4-168	C3-69	C465-246: Lhx8.St18.Lhx6.GABA-1	0.878	1	0.04	0.24	0	0.17	0.62	0	1.09	0.04	0.82	0	1.76	1.8
C4-108 Mid-1 GABA-3 ECEL1 FIGN	0.01	0	0.01	0.04	0.09	0.02	0.02	0.27	0.13	0.02	0.01	0.47	FIGN|ECEL1|SST|NR2F1|KCNMB2	DMH	#FF73C7	C4-108	C3-52	C465-248: Fign.Piezo2.Lhx6.GABA-1	0.787	1	0.02	0.01	0	0.15	0.77	0.02	0.27	0.03	0.02	0.02	0.19	1.53
C4-126 Mid-1 GABA-4 HMX3 COL4A4	0.01	0	0	0.03	0.02	0	0.09	0.28	0.13	0.01	0.05	0.29	COL4A4|HMX3|THSD7B|RELN|COL4A3	MPOA	#532E99	C4-126	C3-56	C465-269: Brs3.Hmx2.Gal.Nts.GABA-1	0.801	1	0.03	0.01	0	1.01	2.74	0.01	0.3	0.02	0.04	0.01	0.11	1.41
C4-6 Pre-1 GABA-8 DRD1 TACR3	0.01	0	0	0.01	0	0.01	0.14	0.33	0.03	0.02	0.01	0.28	TMEM215|DRD1|NELL1|ARHGAP10|MEIS2			C4-6	C3-23															
C4-166 Mid-1 GABA-7 TRABD2B	0.01	0	0	0.05	0.09	0.03	0.02	0.19	0.07	0.01	0.32	0.25	LEF1|TRABD2B|SOX14|NPSR1|KITLG	TMN	#73ABFF	C4-166	C3-67	C465-226: Myo5b.Sox14.Lef1.GABA-1	0.966	3	0	0.02	0	0.1	0.46	0.02	0.13	0.01	0.12	0.01	1.32	0.94
C4-226 Post-1 GLU-1 ZNF676 IRX6	0.01	0	0	0.04	0	0.01	0.01	0.33	0.12	0.02	0.08	0.02	CRNDE|LMX1A|IRX6|LMX1B|C1QL1			C4-226	C3-84	C465-6: Barhl2.Lmx1a.Pitx2.Irx5.GLU-2	0.817	1	0	0.03	0	0.27	0.22	0.06	0.16	0.06	0.02	0.01	0.11	0.08
C4-177 Pre-2 GABA-2 MDFIC NMU	0.01	0	0	0.06	0.01	0	0.01	0.28	0.21	0	0	0.15	LHX8|NMU|ZEB2|GBX1|ASIC4	POA	#F64DFF	C4-177	C3-71	C465-265: Nmu.Zeb2.Lhx8.GABA-1	0.815	1	0.01	0.04	0	0.35	0.29	0.43	0.07	0.03	0.01	0	0.32	1.32
C4-39 Pre-1 GABA-2 EYA2 PDYN	0.01	0	0	0.01	0	0.01	0.01	0.24	0.08	0.01	0.01	0.4	RXFP1|EYA2|PDYN|CAPSL|SEMA5B			C4-39	C3-29															
C4-405 Mid-2 GLU-4 EYA4 HDC	0.01	0	0	0.06	0.04	0.01	0.01	0.18	0.03	0	0.01	0.02	HDC|LEF1|WIF1|TBX3|EYA4	TMN	#73ABFF	C4-405	C3-136															
C4-220 Post-1 GLU-1 ZEB2 VIP	0.01	0	0.03	0.05	0.05	0.01	0.01	0.4	0.03	0.04	0.01	0.03	VIP|C1QL1|LMX1A|TTC6|AP005242.1	MAM	#990073	C4-220	C3-83	C465-48: Rxfp1.Lmx1a.GLU-2	0.762	1	0	0.03	0.01	0.05	0.44	0.02	0.06	0.06	0.01	0.02	0.05	0.94
C4-253 Post-1 GLU-4 THSD7B SGCG	0.01	0.02	0	2.27	0.16	0.03	0.01	0.28	0.09	0.01	0.02	0.01	EBF2|NTS|LMX1A|FSHR|SGCG	MAM	#990073	C4-253	C3-94	C465-5: Cdh23.Lmx1a.Pitx2.Irx5.GLU-2	0.768	1	0.05	0	0	1.1	0.23	0.02	0.07	0.04	0.02	0.08	0.05	0.09
C4-363 Mid-2 GABA-GLU-2 PPP1R17 ADGRG6	0.01	0	0.01	0.57	0.05	0	0.1	0.5	0.06	0	0.15	0.43	ADGRG6|PPP1R17|NPY|RORB|ADAMTS6	Perivent	#CC9F5C	C4-363	C3-126															
C4-158 Mid-1 GABA-6 IL13RA1 SST	0.01	0	0.02	0.35	1.14	0.02	0.02	0.35	0.14	0.01	0.05	0.48	SST|DLK1|SIX6|GLP1R|OTP	ARC	#993E17	C4-158	C3-65	C465-237: Il1rapl2.Zfp804b.Hmcn1.GABA-1	0.84	2	0.02	0.12	0	0.13	0.68	0	0.07	0.12	0.07	0.01	0.12	1.1
C4-247 Post-1 GLU-3 AGTR1 EBF2	0.01	0	0	0.05	0.05	0.02	0.01	0.32	0.01	0	0	0.01	CRNDE|LMX1A|CARTPT|TTC6|IRX3	MAM	#990073	C4-247	C3-92	C465-8: Slc6a3.Pitx2.Irx5.GLU-2	0.978	1	0.01	0.02	0	0.13	0.22	0.01	0.06	0.87	0.19	0.01	0.08	0.19
C4-202 Pre-2 GABA-4 LHX6 NPY	0.01	0	0	0.08	0.01	0	0.02	0.26	0.22	0	0.21	0.47	NPY|LHX6|SST|SOX6|CORT			C4-202	C3-78	C465-250: Moxd1.Dlx1.Lhx6.GABA-1	0.852	1	0.03	0.02	0	0.29	1.56	0.02	0.75	0	0.01	0.01	0.38	1.52
C4-149 Mid-1 GABA-6 ADAMTSL1 MDFIC	0.01	0	0.01	0.05	0.13	0.02	0.01	0.72	0.16	0	0.01	0.34	MDFIC|GPC3|PDZRN4|PROX1|OTP	LTN	#179924	C4-149	C3-62	C465-215: Satb1.Col6a1.Il1rapl2.GABA-1	0.922	1	0	0	0	0.32	0.28	0.02	0.17	0.08	0.02	0.01	0.08	1.33
C4-222 Post-1 GLU-1 ZEB2 SST	0.01	0.01	0	0.05	0.03	0.01	0.01	0.37	0.03	0.08	0.01	0.01	VIP|LMX1A|MYOC|NEUROD6|TTC6	MAM	#990073	C4-222	C3-83	C465-48: Rxfp1.Lmx1a.GLU-2	0.856	1	0	0.03	0.01	0.05	0.44	0.02	0.06	0.06	0.01	0.02	0.05	0.94
